
[19/06/2019, 05:34: PM] Michael purchased x10 Mystery box
[13/07/2019, 12:54: AM] Shooma purchased x5 Pet Mystery box
[13/07/2019, 01:19: AM] Shooma purchased x5 Rainbow partyhat
[13/07/2019, 09:19: AM] Shooma purchased x1 Super Mystery box
[13/07/2019, 09:20: AM] Shooma purchased x1 Mystery box
[13/07/2019, 09:20: AM] Shooma purchased x1 Super Mystery box
[13/07/2019, 09:20: AM] Shooma purchased x5 Super Mystery box
[14/07/2019, 06:27: PM] Shooma purchased x1 Purple partyhat
[14/07/2019, 06:28: PM] Shooma purchased x10 Legendary Mystery box
[16/07/2019, 04:19: AM] Michael purchased x5 Dinh's bulwark
[16/07/2019, 04:20: AM] Michael purchased x1 Rainbow partyhat
[08/08/2019, 02:16: AM] Michael purchased x1 Legendary Mystery box
[08/08/2019, 02:16: AM] Michael purchased x1 Legendary Mystery box
[08/08/2019, 04:08: AM] Michael purchased x1 Legendary Mystery box
[08/08/2019, 04:08: AM] Michael purchased x5 Legendary Mystery box
[08/08/2019, 04:58: AM] Runecessor purchased x1 Legendary Mystery box
[12/08/2019, 06:31: PM] Crystall777 purchased x5 Legendary Mystery box
[12/08/2019, 06:36: PM] Crystall777 purchased x5 Legendary Mystery box
[12/08/2019, 06:39: PM] Crystall777 purchased x3 Legendary Mystery box
[16/08/2019, 02:24: AM] Zynite purchased x1 Pet Mystery box
[17/08/2019, 02:00: PM] Phantasye purchased x1 Super Mystery box
[17/08/2019, 02:00: PM] Phantasye purchased x2 Super Mystery box
[17/08/2019, 02:02: PM] Phantasye purchased x5 Super Mystery box
[17/08/2019, 02:02: PM] Phantasye purchased x1 Super Mystery box
[17/08/2019, 03:11: PM] Phantasye purchased x1 Yoshi pet
