[12/08/2019, 01:21: PM] CHAT: thanks :)
[13/08/2019, 06:33: PM] CC 'server': Thanks
[13/08/2019, 06:34: PM] CHAT: one accurate grandma
[13/08/2019, 09:05: PM] CHAT: ello
[14/08/2019, 05:43: AM] CC 'server': Thanks
[14/08/2019, 05:45: AM] CHAT: michael, you there?
[14/08/2019, 05:56: AM] CC 'server': Where does farming work?
[15/08/2019, 01:33: AM] CHAT: ?
[15/08/2019, 01:34: AM] CHAT: hm?
[15/08/2019, 01:34: AM] CHAT: nahhhh
[15/08/2019, 01:34: AM] CHAT: 5m
[15/08/2019, 01:34: AM] CHAT: 5.5m
[15/08/2019, 01:35: AM] CC 'server': Buying zammy gs ornament kit
[15/08/2019, 02:04: PM] CHAT: ye
[15/08/2019, 02:04: PM] CHAT: thanks
[15/08/2019, 02:04: PM] CHAT: umm
[15/08/2019, 02:05: PM] CHAT: just this
[15/08/2019, 02:05: PM] CHAT: i dont know
[15/08/2019, 02:05: PM] CHAT: one sec
[15/08/2019, 09:24: PM] CC 'server': Mayyybe
[15/08/2019, 09:24: PM] CC 'server': Come home
[16/08/2019, 02:31: AM] CC 'server': Ty
[16/08/2019, 05:52: AM] CC 'server': It did that like 15 min ago as well
[16/08/2019, 02:34: PM] CC 'server': ?
[16/08/2019, 02:34: PM] CC 'server': Oh wassuh
[16/08/2019, 02:35: PM] CC 'server': Not really
[17/08/2019, 04:42: AM] CHAT: wuts happenin
[17/08/2019, 04:42: AM] CHAT: uhoh
[17/08/2019, 04:42: AM] CC 'server': Hey byte welcome
[17/08/2019, 04:59: AM] CC 'server': Thanks michael
[17/08/2019, 05:00: AM] CC 'server': So it doesnt stack with skilling gear right?
[17/08/2019, 08:38: AM] CC 'server': I'll buy one ez
[17/08/2019, 08:38: AM] CC 'server': Hm u want?
[18/08/2019, 01:51: PM] CHAT: hey monkey
[18/08/2019, 01:51: PM] CHAT: how goes it
[18/08/2019, 01:51: PM] CC 'server': Wb
[18/08/2019, 01:52: PM] CHAT: probs
[18/08/2019, 01:52: PM] CHAT: just came home from a 12 hour shift
[18/08/2019, 07:38: PM] CC 'server': Heyy
[20/08/2019, 03:24: PM] CC 'server': Ty
[20/08/2019, 03:24: PM] CHAT: hacks
[20/08/2019, 06:51: PM] CHAT: no
[20/08/2019, 06:51: PM] CHAT: it kicked me
[20/08/2019, 09:54: PM] PM from [Ez] to [Alk]: so i don't wanna sell it, but you can borrow it for as long as you'd like
[20/08/2019, 09:54: PM] PM from [Alk] to [Ez]: lol okay
[20/08/2019, 10:27: PM] CHAT: nice crown
[20/08/2019, 11:12: PM] CC 'server': 404 error
[20/08/2019, 11:12: PM] CC 'server': With download link
[20/08/2019, 11:13: PM] CC 'server': Guys
[20/08/2019, 11:13: PM] CC 'server': Link in discord doesnt work
[20/08/2019, 11:16: PM] CC 'server': 230k xp per agility lap
[20/08/2019, 11:18: PM] CHAT: mythical cape
[20/08/2019, 11:18: PM] CHAT: sorry
[20/08/2019, 11:18: PM] CHAT: lol
[20/08/2019, 11:19: PM] PM from [Alk] to [Michael]: too high, huh?
[20/08/2019, 11:20: PM] CC 'server': Cya
[21/08/2019, 12:44: AM] PM from [Runecessor G] to [Alk]: roll back?
