[12/08/2019, 06:01: AM] CC 'server': Good morning
[14/08/2019, 01:11: PM] CHAT:  / helloo
[14/08/2019, 01:11: PM] CC 'server': Hello
[15/08/2019, 05:59: AM] CC 'server': Yooo
[15/08/2019, 06:00: AM] CC 'server': All fine thanks
[15/08/2019, 05:39: PM] CC 'server': Yo
[15/08/2019, 05:40: PM] CC 'server': Who drops ranger boots?
[16/08/2019, 05:36: AM] CC 'server': Good morning :)
[16/08/2019, 05:37: AM] CC 'server':  8:37
[16/08/2019, 08:11: AM] CHAT: ooo
[16/08/2019, 08:11: AM] CHAT: i want to try
[16/08/2019, 08:11: AM] CHAT: you with craws im bp
[16/08/2019, 08:11: AM] CHAT: whos better
[16/08/2019, 08:11: AM] CHAT: whose
[16/08/2019, 08:11: AM] CHAT: here
[16/08/2019, 08:11: AM] CHAT: just  tekkton
[17/08/2019, 10:09: AM] PM from [Officialmm] to [Esql]: got craws back?
[17/08/2019, 10:09: AM] PM from [Esql] to [Officialmm]: nope
[17/08/2019, 10:09: AM] PM from [Officialmm] to [Esql]: wow big rip man
[17/08/2019, 10:09: AM] PM from [Officialmm] to [Esql]: wont he give back?
[17/08/2019, 10:10: AM] PM from [Esql] to [Officialmm]: idk he said wrote me pm in discord but nothing
[17/08/2019, 10:10: AM] PM from [Officialmm] to [Esql]: wow rip...
[17/08/2019, 10:11: AM] PM from [Officialmm] to [Esql]: thats bad tbh
[18/08/2019, 07:11: AM] CC 'server': Hello
[18/08/2019, 11:24: AM] PM from [Esql] to [Michael]: good morniiing
[18/08/2019, 11:25: AM] CC 'server': Wheeeen new client
[18/08/2019, 11:25: AM] CC 'server': -_-
[18/08/2019, 02:04: PM] CC 'server': Heelo
[18/08/2019, 02:04: PM] CC 'server': Still old client?
[18/08/2019, 03:01: PM] CC 'server': Whasuuuup
[18/08/2019, 05:56: PM] CC 'server': Sooo4
[18/08/2019, 05:56: PM] CC 'server': Where is new client
[19/08/2019, 04:17: AM] CC 'server': Hello
[19/08/2019, 04:19: AM] CHAT: does it new client?
[19/08/2019, 04:19: AM] CHAT: oooo
[19/08/2019, 07:44: AM] CC 'server': Yh its counting down
[19/08/2019, 09:35: AM] CC 'server': Pc ring of the gods 
[19/08/2019, 09:36: AM] CC 'server': Than idk what to do with him :d
