[16/04/2019, 06:29: PM] PM from [King] to [Eguie]: just have to make new account
[17/04/2019, 05:59: AM] CC 'server': Heya
[17/04/2019, 02:21: PM] CHAT: sup
[17/04/2019, 02:21: PM] CC 'server': Sup homies
[11/08/2019, 09:40: AM] CHAT: excuse me
[11/08/2019, 09:42: AM] CHAT: erm
[11/08/2019, 09:42: AM] CHAT: does resizable work
[11/08/2019, 09:42: AM] CHAT: ill try again, it went black screen
[11/08/2019, 09:43: AM] CHAT: i only just found this
[11/08/2019, 09:43: AM] CHAT: yes forum
[11/08/2019, 09:43: AM] CHAT: ok
[11/08/2019, 09:44: AM] CHAT: thanks!
[11/08/2019, 09:44: AM] CHAT: what can you get in them
[11/08/2019, 09:45: AM] CHAT: ok
[11/08/2019, 09:46: AM] CHAT: do you invite to discord or is it on forum
[11/08/2019, 09:47: AM] CHAT: oh ye im in
[11/08/2019, 09:47: AM] CHAT: ill load the other link brb
[11/08/2019, 09:49: AM] CHAT: ye this link works better for it
[11/08/2019, 09:50: AM] CHAT: ty
[11/08/2019, 09:50: AM] CHAT: will do
[11/08/2019, 06:32: PM] CC 'server': Hello again
[11/08/2019, 06:33: PM] CC 'server': To make eternals is it just infinity boots and crystal?
[13/08/2019, 12:51: PM] CC 'server': Hello
