[16/04/2019, 05:34: PM] CHAT: hey hey
[17/04/2019, 06:09: PM] CC 'server': Hello
[19/04/2019, 03:18: PM] CC 'server': Hiyaa
[19/04/2019, 03:18: PM] CC 'server': Thanks!
[20/04/2019, 07:37: AM] CC 'server': Good morning 
[20/04/2019, 07:38: AM] CC 'server': How is everyone?
[20/04/2019, 04:02: PM] CHAT: yes?
[20/04/2019, 04:02: PM] CHAT: ok
[20/04/2019, 04:04: PM] CHAT: is he watching or?
[20/04/2019, 04:04: PM] CHAT: lol
[20/04/2019, 06:39: PM] CHAT: thank you <3
[20/04/2019, 06:40: PM] CC 'server': I feel like i've not had a drop in ages lol
[20/04/2019, 06:40: PM] CC 'server': From anything!
[21/04/2019, 07:47: AM] CC 'server': Dced :(
[21/04/2019, 07:47: AM] CC 'server': How is everyone?
[21/04/2019, 07:49: AM] CC 'server': Was about to go to crazy arch, but internets so bad atm
[21/04/2019, 07:49: AM] CC 'server': Dont want to get dced and loose stuff :(
[21/04/2019, 08:51: PM] CHAT: i thought you already asked lol
[21/04/2019, 08:51: PM] CHAT: oh
[21/04/2019, 08:51: PM] CHAT: oh
[21/04/2019, 08:51: PM] CHAT: i bought it
[21/04/2019, 08:51: PM] CHAT: with gp
[21/04/2019, 08:51: PM] CHAT: yeah :)
[21/04/2019, 08:52: PM] CHAT: 100m
[21/04/2019, 08:52: PM] CHAT: but
[21/04/2019, 08:52: PM] CHAT: i got some arrows with it too
[21/04/2019, 08:52: PM] CHAT: i just need to get better range armour now lol
[22/04/2019, 11:26: AM] CC 'server': Sure happy
[22/04/2019, 11:26: AM] CHAT: what boss
[22/04/2019, 11:26: AM] CHAT: and how do we duo
[22/04/2019, 11:26: AM] CHAT: i think use the slayer gem on me
[22/04/2019, 11:27: AM] CHAT: you already got a task?
[22/04/2019, 11:27: AM] CHAT: hmm
[22/04/2019, 11:27: AM] CHAT: hold on
[22/04/2019, 11:27: AM] CHAT: i have a task
[22/04/2019, 11:27: AM] CHAT: hold on
[22/04/2019, 11:28: AM] CC 'server': Hmm
[22/04/2019, 11:28: AM] CC 'server': Guys can you duo slayer?
[22/04/2019, 11:28: AM] CC 'server': If so how?
[22/04/2019, 11:29: AM] CHAT: i'll ask Zin
[22/04/2019, 11:29: AM] CHAT: :lp
[22/04/2019, 11:29: AM] CHAT: :p
[22/04/2019, 11:30: AM] CHAT: i really want armadyl armour
[22/04/2019, 11:30: AM] CHAT: isnt it better with tbow?
[22/04/2019, 11:30: AM] CHAT: not yet
[22/04/2019, 11:30: AM] CHAT: need pot
[22/04/2019, 11:31: AM] CHAT: ok im ready
[22/04/2019, 11:32: AM] CHAT: lo
[22/04/2019, 11:32: AM] CHAT: show off
[22/04/2019, 11:33: AM] CHAT: 92 :p
[22/04/2019, 11:33: AM] CHAT: ez game
[22/04/2019, 11:35: AM] CHAT: are we splitting or?
[22/04/2019, 11:35: AM] CHAT: oki <3
[22/04/2019, 11:37: AM] CHAT: lol
[22/04/2019, 11:37: AM] CHAT: nice
[22/04/2019, 11:39: AM] CHAT: lol
[22/04/2019, 11:40: AM] CHAT: oi
[22/04/2019, 11:40: AM] CHAT: knicking my arrows
[22/04/2019, 11:40: AM] CHAT: lol
[22/04/2019, 11:44: AM] CHAT: do you have rigour?
[22/04/2019, 11:44: AM] CHAT: hmm
[22/04/2019, 11:45: AM] CHAT: lol
[22/04/2019, 11:47: AM] CHAT: lol
[22/04/2019, 11:47: AM] CHAT: 48?
[22/04/2019, 11:47: AM] CHAT: #oh
[22/04/2019, 11:48: AM] CHAT: lol
[22/04/2019, 11:49: AM] CHAT: crystal key
[22/04/2019, 11:49: AM] CHAT: you want it?
[22/04/2019, 11:50: AM] CHAT: oh ok
[22/04/2019, 11:50: AM] CHAT: sleep well
[22/04/2019, 11:50: AM] CHAT: what time is it
[22/04/2019, 11:50: AM] CHAT: :p
[22/04/2019, 11:50: AM] PM from [Happy Shibe] to [Miss B]: 11;50pm
[22/04/2019, 11:51: AM] PM from [Miss B] to [Happy Shibe]: oh its 12:51am here
[22/04/2019, 11:51: AM] PM from [Happy Shibe] to [Miss B]: you mean pm?
[22/04/2019, 11:51: AM] PM from [Miss B] to [Happy Shibe]: i mean its day time
[22/04/2019, 11:51: AM] PM from [Miss B] to [Happy Shibe]: not night time lol
[22/04/2019, 11:51: AM] PM from [Happy Shibe] to [Miss B]: ya xd
[22/04/2019, 11:52: AM] PM from [Miss B] to [Happy Shibe]: isnt it am until after 1?
[22/04/2019, 11:52: AM] PM from [Miss B] to [Happy Shibe]: or am i just stupid
[22/04/2019, 11:52: AM] PM from [Happy Shibe] to [Miss B]: aight, catch you later :)
[22/04/2019, 11:52: AM] PM from [Happy Shibe] to [Miss B]: nah
[22/04/2019, 11:52: AM] PM from [Happy Shibe] to [Miss B]: it swaps over at 12
[22/04/2019, 11:52: AM] PM from [Happy Shibe] to [Miss B]: 11 am - 12 pm
[22/04/2019, 11:52: AM] PM from [Happy Shibe] to [Miss B]: 11 pm - 12 am
[22/04/2019, 11:52: AM] PM from [Miss B] to [Happy Shibe]: oh l0l
[22/04/2019, 11:52: AM] PM from [Happy Shibe] to [Miss B]: :p
[22/04/2019, 11:52: AM] PM from [Miss B] to [Happy Shibe]: goodnight anyway
[22/04/2019, 11:53: AM] CC 'server': Wb
[22/04/2019, 12:02: PM] CHAT: loi
[22/04/2019, 12:31: PM] CC 'server': Gz
[22/04/2019, 12:37: PM] CC 'server': Welcome
[22/04/2019, 12:37: PM] CC 'server': Gz
[22/04/2019, 12:38: PM] CC 'server': Offer?
[22/04/2019, 12:38: PM] CC 'server': Nty
[22/04/2019, 12:40: PM] CC 'server': Wb :)
[22/04/2019, 12:43: PM] CC 'server': Welcome
[22/04/2019, 12:43: PM] CC 'server': Gz
[22/04/2019, 12:52: PM] CC 'server': Cerb
[22/04/2019, 12:52: PM] CC 'server': Off task
[22/04/2019, 12:52: PM] CC 'server': Just me
[22/04/2019, 12:53: PM] CC 'server': How much for rangers?
[22/04/2019, 12:54: PM] CC 'server': Right... 
[22/04/2019, 12:54: PM] CC 'server': Just completely cut in on us lol
[22/04/2019, 12:54: PM] CC 'server': Nah its fine
[22/04/2019, 12:55: PM] CC 'server': Go ahead
[22/04/2019, 12:58: PM] PM from [Queen] to [Miss B]: wanna swap your gs blade for a dfs? :p
[22/04/2019, 12:58: PM] PM from [Miss B] to [Queen]: i have a dfs, sorry
[22/04/2019, 12:58: PM] PM from [Queen] to [Miss B]: nuts i need your blade for a complete gs set
[22/04/2019, 12:59: PM] PM from [Miss B] to [Queen]: if you get the shard 1 you can have all three for free
[22/04/2019, 12:59: PM] PM from [Miss B] to [Queen]: i have doubles of 2/3
[22/04/2019, 12:59: PM] PM from [Queen] to [Miss B]: i bet they're hard to get af
[22/04/2019, 01:00: PM] PM from [Miss B] to [Queen]: i think so yeah
[22/04/2019, 01:15: PM] CC 'server': Gzgzgz
[22/04/2019, 01:15: PM] CC 'server': L0l
[22/04/2019, 01:18: PM] CC 'server': Gz
[22/04/2019, 01:20: PM] CC 'server': How much for anguish?
[22/04/2019, 01:21: PM] CHAT: serious? right now...
[22/04/2019, 01:21: PM] CHAT: jeez
