[11/08/2019, 06:10: AM] CC 'server': Uhm
[13/08/2019, 04:20: AM] CC 'server': Buying monkey nuts
[13/08/2019, 04:21: AM] CHAT: wot
[13/08/2019, 04:21: AM] CHAT: yeh
[13/08/2019, 04:21: AM] CHAT: till i get 500 moe
[13/08/2019, 04:21: AM] CHAT: when ever is see "oi" i think of brooklyn lol
[13/08/2019, 08:04: PM] CC 'server': Earf
[13/08/2019, 08:04: PM] CC 'server': Come to home a sec
[13/08/2019, 08:05: PM] CHAT: imbued slayer helm ;)
[13/08/2019, 08:05: PM] CHAT: no
[13/08/2019, 08:05: PM] CHAT: i'm getting that next lol
[13/08/2019, 08:05: PM] CHAT: 580 points
[13/08/2019, 08:05: PM] CHAT: me to xd
[13/08/2019, 08:06: PM] CHAT: in the donator zone there is xd
[13/08/2019, 08:06: PM] CHAT: lol
