[17/04/2019, 02:48: PM] PM from [Original] to [Bob]: hey man did you see my discord pm
[18/04/2019, 08:08: PM] CC 'server': Thanks 
[19/04/2019, 07:34: PM] CC 'server': Howdy
[19/04/2019, 07:35: PM] CC 'server': Negative ghost rider
[20/04/2019, 06:50: PM] PM from [Maladose] to [Original]: yo bro are those chaps u got for sale?
[20/04/2019, 06:51: PM] PM from [Original] to [Maladose]: naw been usin em soz
[20/04/2019, 06:51: PM] PM from [Maladose] to [Original]: all good bro
[20/04/2019, 09:37: PM] CC 'server': Y'all have you been watching the updates roll in?
[20/04/2019, 09:37: PM] CC 'server': These guys are on top of it
[20/04/2019, 09:38: PM] CC 'server': I'm loving it
[20/04/2019, 10:22: PM] CHAT: ty for fixing dr for donors :d
[20/04/2019, 10:22: PM] CHAT: updates have been awesome
[20/04/2019, 10:22: PM] CC 'server': Tyty
[20/04/2019, 11:41: PM] CC 'server': Welcome
